Postal Code,Name,Poverty Estimate,Poverty Percent
GA,Worth County,"3,590",18.2
HI,Hawaii,"121,182",8.9
HI,Hawaii County,"24,301",12.2
HI,Honolulu County,"74,186",8.0
HI,Kalawao County,.,.
HI,Kauai County,"7,005",9.9
HI,Maui County,"15,690",9.5
ID,Idaho,"181,197",10.1
ID,Ada County,"37,356",7.7
ID,Adams County,606,13.7
ID,Bannock County,"10,592",12.2
ID,Bear Lake County,579,9.5
ID,Benewah County,"1,167",12.5
ID,Bingham County,"5,207",11.1
ID,Blaine County,"1,603",6.9
ID,Boise County,919,11.5
ID,Bonner County,"5,859",12.6
ID,Bonneville County,"11,709",9.7
ID,Boundary County,"1,758",14.0
ID,Butte County,373,14.2
ID,Camas County,94,8.3
ID,Canyon County,"24,648",10.6
ID,Caribou County,556,7.9
ID,Cassia County,"2,425",10.1
ID,Clark County,99,11.6
ID,Clearwater County,"1,129",14.0
ID,Custer County,538,12.7
ID,Elmore County,"3,132",11.7
ID,Franklin County,"1,078",7.7
ID,Fremont County,"1,600",12.6
ID,Gem County,"2,036",11.0
ID,Gooding County,"1,747",11.2
ID,Idaho County,"2,138",13.1
ID,Jefferson County,"2,586",8.5
ID,Jerome County,"2,990",12.3
ID,Kootenai County,"14,595",8.6
ID,Latah County,"5,840",15.3
ID,Lemhi County,"1,222",15.3
ID,Lewis County,492,12.9
ID,Lincoln County,602,11.4
ID,Madison County,"5,659",14.3
ID,Minidoka County,"2,940",14.0
ID,Nez Perce County,"4,597",11.6
ID,Oneida County,431,9.7
ID,Owyhee County,"1,630",13.6
ID,Payette County,"2,824",11.5
ID,Power County,942,12.4
ID,Shoshone County,"1,832",14.4
ID,Teton County,921,7.4
ID,Twin Falls County,"9,684",11.1
ID,Valley County,"1,013",8.7
ID,Washington County,"1,448",14.2
IL,Illinois,"1,351,159",11.0
IL,Adams County,"6,735",10.7
IL,Alexander County,"1,312",24.2
IL,Bond County,"1,586",10.8
IL,Boone County,"3,559",6.8
IL,Brown County,757,16.7
IL,Bureau County,"3,191",10.0
IL,Calhoun County,418,9.2
IL,Carroll County,"1,463",10.5
IL,Cass County,"1,425",12.2
IL,Champaign County,"29,150",15.1
IL,Christian County,"3,003",9.9
IL,Clark County,"1,563",10.4
IL,Clay County,"1,712",13.3
IL,Clinton County,"2,501",7.1
IL,Coles County,"8,284",17.5
IL,Cook County,"646,192",12.9
IL,Crawford County,"1,876",11.0
IL,Cumberland County,931,8.9
IL,DeKalb County,"10,691",10.8
IL,De Witt County,"1,489",9.9
IL,Douglas County,"1,576",8.2
IL,DuPage County,"53,259",5.9
IL,Edgar County,"1,933",11.7
IL,Edwards County,676,10.7
IL,Effingham County,"3,128",9.3
IL,Fayette County,"2,884",14.7
IL,Ford County,"1,180",9.5
IL,Franklin County,"5,795",15.5
IL,Fulton County,"4,091",13.2
IL,Gallatin County,743,15.6
IL,Greene County,"1,641",13.3
IL,Grundy County,"3,009",5.9
IL,Hamilton County,"1,040",13.0
IL,Hancock County,"1,918",11.2
IL,Hardin County,684,18.0
IL,Henderson County,687,10.6
IL,Henry County,"4,583",9.6
IL,Iroquois County,"2,923",11.2
IL,Jackson County,"9,154",17.2
IL,Jasper County,898,9.6
IL,Jefferson County,"4,369",12.5
IL,Jersey County,"1,775",8.5
IL,Jo Daviess County,"1,906",9.1
IL,Johnson County,"1,645",14.9
IL,Kane County,"38,218",7.3
IL,Kankakee County,"14,004",13.6
IL,Kendall County,"5,078",3.9
IL,Knox County,"6,027",13.4
IL,Lake County,"46,919",7.0
IL,La Salle County,"11,840",11.4
IL,Lawrence County,"2,147",16.5
IL,Lee County,"3,247",10.6
IL,Livingston County,"3,274",9.9
IL,Logan County,"2,812",11.6
IL,McDonough County,"4,363",16.8
IL,McHenry County,"18,998",6.3
IL,McLean County,"17,168",10.7
IL,Macon County,"12,674",12.8
IL,Macoupin County,"4,707",10.8
IL,Madison County,"28,469",11.0
IL,Marion County,"5,125",14.2
IL,Marshall County,"1,025",9.3
IL,Mason County,"1,728",13.4
IL,Massac County,"1,978",14.8
IL,Menard County,937,7.9
IL,Mercer County,"1,317",8.8
IL,Monroe County,"1,400",4.1
IL,Montgomery County,"3,436",13.5
IL,Morgan County,"3,755",12.4
IL,Moultrie County,"1,265",9.1
IL,Ogle County,"4,132",8.3
IL,Peoria County,"24,583",14.2
IL,Perry County,"2,732",15.1
IL,Piatt County,"1,034",6.4
IL,Pike County,"1,983",13.5
IL,Pope County,630,15.6
IL,Pulaski County,"1,056",20.4
IL,Putnam County,413,7.3
IL,Randolph County,"3,251",12.0
IL,Richland County,"1,794",11.9
